Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Structure_Context,Fibo_Target,SL,Peak_Price,status
TH_052100,Gamma_Hybrid,LONG,2025-06-05 21:00:00,242.04,2025-06-09 21:00:00,272.24,0.1247727648322592,TP_FIBONACCI_EXT,RSI_Reversal,269.74,233.12571428571428,272.24,CLOSED
TH_092130,Gamma_Hybrid,SHORT,2025-06-09 21:30:00,274.06,2025-06-09 22:45:00,281.03,-0.025432387068525034,SL_ATR_DYNAMIC,RSI_Reversal,245.87,279.32928571428573,274.06,CLOSED
TH_092345,Gamma_Hybrid,SHORT,2025-06-09 23:45:00,283.24,2025-06-10 02:45:00,290.65,-0.026161559101821663,SL_ATR_DYNAMIC,RSI_Reversal,245.87,290.63928571428573,283.24,CLOSED
TH_101145,Gamma_Hybrid,SHORT,2025-06-10 11:45:00,313.7,2025-06-22 00:15:00,235.59,0.24899585591329293,TRAILING_STOP_SMART,RSI_Reversal,208.37,324.96714285714285,228.99,CLOSED
TH_221000,Gamma_Hybrid,LONG,2025-06-22 10:00:00,228.95,2025-06-22 13:15:00,223.32,-0.024590521948023567,SL_ATR_DYNAMIC,RSI_Reversal,258.37,223.71499999999997,232.34,CLOSED
TH_230130,Gamma_Hybrid,SHORT,2025-06-23 01:30:00,228.74,2025-06-23 18:00:00,236.22,-0.032700883098714655,SL_ATR_DYNAMIC,RSI_Reversal,200.35,235.33357142857145,223.85,CLOSED
TH_232030,Gamma_Hybrid,SHORT,2025-06-23 20:30:00,248.47,2025-06-24 03:15:00,259.75,-0.04539783474866182,SL_ATR_DYNAMIC,RSI_Reversal,213.71,258.98285714285714,246.86,CLOSED
TH_240600,Gamma_Hybrid,SHORT,2025-06-24 06:00:00,261.59,2025-06-24 16:45:00,269.03,-0.028441454184028436,SL_ATR_DYNAMIC,RSI_Reversal,213.71,266.93857142857144,257.21,CLOSED
TH_241700,Gamma_Hybrid,SHORT,2025-06-24 17:00:00,267.28,2025-06-27 01:00:00,252.64,0.05477401975456445,TRAILING_STOP_SMART,RSI_Reversal,246.69,273.95714285714286,249.02,CLOSED
TH_270430,Gamma_Hybrid,SHORT,2025-06-27 04:30:00,257.95,2025-06-27 09:45:00,263.08,-0.019887575111455693,SL_ATR_DYNAMIC,RSI_Reversal,242.22,262.1885714285714,255.97,CLOSED
