Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,SL,Peak_Price,status,Rem_Qty,TP1_Hit,TP2_Hit
FL_1425,Flash_Reversal,LONG,2025-05-09 14:25:00,207.31,2025-05-09 14:45:00,207.06,-0.0012059234962134003,SL_HIT,207.31,207.31,CLOSED,0.4,True,False
FL_0029,Flash_Reversal,LONG,2025-05-11 00:29:00,221.06,2025-05-11 00:52:00,224.16,0.014023342079073528,SL_HIT,224.17350000000002,225.3,CLOSED,0.2,True,True
FL_0135,Flash_Reversal,LONG,2025-05-12 01:35:00,217.04,2025-05-12 02:14:00,219.32,0.010504976041282718,SL_HIT,219.3776,220.48,CLOSED,0.2,True,True
FL_0703,Flash_Reversal,SHORT,2025-05-12 07:03:00,225.08,2025-05-12 07:22:00,226.25,-0.0051981517682601185,SL_HIT,225.08,225.08,CLOSED,0.4,True,False
FL_1428,Flash_Reversal,LONG,2025-05-12 14:28:00,220.03,2025-05-12 14:46:00,223.73,0.01681588874244416,SL_HIT,223.79539999999997,224.92,CLOSED,0.2,True,True
FL_1504,Flash_Reversal,LONG,2025-05-12 15:04:00,218.92,2025-05-12 15:30:00,220.69,0.00808514525854198,SL_HIT,220.95964999999998,222.07,CLOSED,0.2,True,True
FL_1749,Flash_Reversal,LONG,2025-05-12 17:49:00,218.03,2025-05-12 18:05:00,218.41,0.0017428794202632456,SL_HIT,219.3065,220.18,CLOSED,0.2,True,True
FL_0219,Flash_Reversal,LONG,2025-05-13 02:19:00,212.49,2025-05-13 02:33:00,213.76,0.005976751847145662,SL_HIT,213.785,214.76,CLOSED,0.2,True,True
FL_1854,Flash_Reversal,SHORT,2025-05-13 18:54:00,232.72,2025-05-13 19:32:00,234.62,-0.008164317634926116,SL_HIT,232.72,232.72,CLOSED,0.4,True,False
FL_1656,Flash_Reversal,SHORT,2025-05-15 16:56:00,230.72,2025-05-15 17:22:00,234.34,-0.01569001386962554,SL_HIT,234.18079999999998,230.72,CLOSED,1.0,False,False
FL_1758,Flash_Reversal,LONG,2025-05-18 17:58:00,235.01,2025-05-18 18:08:00,231.34,-0.01561635675077651,SL_HIT,231.48485,235.01,CLOSED,1.0,False,False
FL_2000,Flash_Reversal,LONG,2025-05-18 20:00:00,220.76,2025-05-18 20:22:00,220.33,-0.0019478166334479907,SL_HIT,220.76,220.76,CLOSED,0.4,True,False
FL_2200,Flash_Reversal,LONG,2025-05-18 22:00:00,222.18,2025-05-18 22:20:00,221.44,-0.0033306328202358858,SL_HIT,222.18,222.18,CLOSED,0.4,True,False
FL_1707,Flash_Reversal,SHORT,2025-05-19 17:07:00,237.07,2025-05-19 17:33:00,239.01,-0.008183237018602092,SL_HIT,237.07,237.07,CLOSED,0.4,True,False
FL_0138,Flash_Reversal,SHORT,2025-05-20 01:38:00,259.19,2025-05-20 02:01:00,260.18,-0.003819591805239435,SL_HIT,259.19,259.19,CLOSED,0.4,True,False
FL_1722,Flash_Reversal,LONG,2025-05-21 17:22:00,250.28,2025-05-21 17:40:00,249.02,-0.005034361515103048,SL_HIT,250.28,250.28,CLOSED,0.4,True,False
FL_1146,Flash_Reversal,LONG,2025-05-23 11:46:00,253.32,2025-05-23 11:51:00,248.5,-0.019027317227222458,SL_HIT,249.5202,253.32,CLOSED,1.0,False,False
FL_1332,Flash_Reversal,SHORT,2025-05-23 13:32:00,257.43,2025-05-23 14:00:00,261.39,-0.015382822514858329,SL_HIT,261.29145,257.43,CLOSED,1.0,False,False
FL_1550,Flash_Reversal,SHORT,2025-05-24 15:50:00,272.37,2025-05-24 16:09:00,268.4,0.014575760913463404,SL_HIT,268.0938,266.76,CLOSED,0.2,True,True
FL_1724,Flash_Reversal,LONG,2025-05-24 17:24:00,271.06,2025-05-24 17:48:00,270.53,-0.001955286652401791,SL_HIT,271.06,271.06,CLOSED,0.4,True,False
FL_0553,Flash_Reversal,SHORT,2025-05-25 05:53:00,269.46,2025-05-25 06:18:00,269.06,0.0014844503822458892,SL_HIT,268.8375,267.5,CLOSED,0.2,True,True
FL_0232,Flash_Reversal,SHORT,2025-05-29 02:32:00,271.83,2025-05-29 03:05:00,272.78,-0.0034948313284037403,SL_HIT,271.83,271.83,CLOSED,0.4,True,False
FL_0445,Flash_Reversal,LONG,2025-05-29 04:45:00,266.01,2025-05-29 05:13:00,267.64,0.00612758918837636,SL_HIT,267.798,269.06,CLOSED,0.2,True,True
FL_0056,Flash_Reversal,LONG,2025-05-30 00:56:00,244.05,2025-05-30 01:20:00,245.79,0.007129686539643436,SL_HIT,245.79485,247.03,CLOSED,0.2,True,True
FL_1632,Flash_Reversal,LONG,2025-05-30 16:32:00,241.0,2025-05-30 17:21:00,244.6,0.014937759336099561,SL_HIT,244.68045,245.91,CLOSED,0.2,True,True
FL_0019,Flash_Reversal,LONG,2025-05-31 00:19:00,245.99,2025-05-31 00:33:00,247.57,0.006423025326232709,SL_HIT,247.62349999999998,248.65,CLOSED,0.2,True,True
FL_0210,Flash_Reversal,SHORT,2025-05-31 02:10:00,247.61,2025-05-31 02:29:00,248.52,-0.0036751342837526616,SL_HIT,247.61,247.61,CLOSED,0.4,True,False
FL_0435,Flash_Reversal,SHORT,2025-05-31 04:35:00,252.65,2025-05-31 05:01:00,252.38,0.0010686720759944992,SL_HIT,252.36554999999998,251.11,CLOSED,0.2,True,True
FL_1918,Flash_Reversal,LONG,2025-06-05 19:18:00,250.71,2025-06-05 19:49:00,251.5,0.003151051015117036,SL_HIT,251.56585,252.83,CLOSED,0.2,True,True
FL_2015,Flash_Reversal,LONG,2025-06-05 20:15:00,245.69,2025-06-05 20:38:00,241.92,-0.015344539867312509,SL_HIT,242.00465,245.69,CLOSED,1.0,False,False
FL_1051,Flash_Reversal,SHORT,2025-06-10 10:51:00,302.09,2025-06-10 11:06:00,302.32,-0.0007613625078619557,SL_HIT,302.07284999999996,300.57,CLOSED,0.2,True,True
FL_1335,Flash_Reversal,LONG,2025-06-10 13:35:00,309.91,2025-06-10 13:54:00,309.56,-0.001129360136813987,SL_HIT,309.91,309.91,CLOSED,0.4,True,False
FL_1530,Flash_Reversal,LONG,2025-06-10 15:30:00,304.56,2025-06-10 16:20:00,304.56,0.0,SL_HIT,304.6292,306.16,CLOSED,0.2,True,True
FL_2236,Flash_Reversal,LONG,2025-06-10 22:36:00,303.78,2025-06-11 00:20:00,306.68,0.009546382250312839,SL_HIT,308.34055,309.89,CLOSED,0.2,True,True
FL_1241,Flash_Reversal,SHORT,2025-06-11 12:41:00,324.31,2025-06-11 13:35:00,314.08,0.03154389318861588,SL_HIT,314.03235,312.47,CLOSED,0.2,True,True
FL_1952,Flash_Reversal,LONG,2025-06-12 19:52:00,295.63,2025-06-12 20:14:00,297.0,0.004634171092243698,SL_HIT,297.0725,298.45,CLOSED,0.2,True,True
FL_0004,Flash_Reversal,LONG,2025-06-13 00:04:00,290.15,2025-06-13 00:11:00,285.4,-0.016370842667585733,SL_HIT,285.79774999999995,290.15,CLOSED,1.0,False,False
FL_0012,Flash_Reversal,LONG,2025-06-13 00:12:00,283.88,2025-06-13 00:34:00,278.3,-0.019656192757503115,SL_HIT,279.6218,283.88,CLOSED,1.0,False,False
FL_0653,Flash_Reversal,SHORT,2025-06-13 06:53:00,276.67,2025-06-13 07:20:00,278.54,-0.0067589547113890355,SL_HIT,276.67,276.67,CLOSED,0.4,True,False
